Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _virtual","Meta: bville_id"
simple,BVL-SANDWICHES-TURKEY-CLUB,"Turkey Club",1,0,visible,"Turkey, bacon, lettuce, tomato & mayo on white toast","Turkey, bacon, lettuce, tomato & mayo on white toast",taxable,,1,,0,0,0,9.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-turkey-club.jpg,,57,,,,,yes,sandwiches-turkey-club
simple,BVL-PANINI-CHIPOTLE-CHICKEN,"Chipotle Chicken",1,0,visible,"Char-grilled chicken, avocado & pepper jack cheese with homemade chipotle mayo","Char-grilled chicken, avocado & pepper jack cheese with homemade chipotle mayo",taxable,,1,,0,0,0,9.95,Panini,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/panini-chipotle-chicken.jpg,,58,,,,,yes,panini-chipotle-chicken
simple,BVL-PANINI-CHICKEN,Chicken,1,0,visible,"Char-grilled chicken, roasted peppers & mozzarella cheese with balsamic glaze","Char-grilled chicken, roasted peppers & mozzarella cheese with balsamic glaze",taxable,,1,,0,0,0,9.95,Panini,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/panini-chicken.jpg,,59,,,,,yes,panini-chicken
simple,BVL-PANINI-VEGGIE,Veggie,1,0,visible,"Grilled eggplant, roasted red peppers & mozzarella cheese with balsamic glaze","Grilled eggplant, roasted red peppers & mozzarella cheese with balsamic glaze",taxable,,1,,0,0,0,9.95,Panini,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/panini-veggie.jpg,,60,,,,,yes,panini-veggie
simple,BVL-PANINI-MILANO,Milano,1,0,visible,"Char-grilled chicken, pesto, roasted peppers, arugula & melted mozzarella cheese","Char-grilled chicken, pesto, roasted peppers, arugula & melted mozzarella cheese",taxable,,1,,0,0,0,10.95,Panini,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/panini-milano.jpg,,61,,,,,yes,panini-milano
simple,BVL-PANINI-TURKEY,Turkey,1,0,visible,"Oven-roasted turkey, roasted peppers & mozzarella cheese with balsamic glaze","Oven-roasted turkey, roasted peppers & mozzarella cheese with balsamic glaze",taxable,,1,,0,0,0,9.95,Panini,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/panini-turkey.jpg,,62,,,,,yes,panini-turkey
variable,BVL-PIZZA-CLASSIC,"Regular Classic Pizza",1,0,visible,,,taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-classic.jpg,,63,Size,"12"" | 16""",1,0,yes,pizza-classic
variation,BVL-PIZZA-CLASSIC-12,"Regular Classic Pizza - 12""",1,0,visible,,,taxable,,1,,0,0,0,9.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-classic.jpg,BVL-PIZZA-CLASSIC,0,Size,"12""",1,0,yes,pizza-classic
variation,BVL-PIZZA-CLASSIC-16,"Regular Classic Pizza - 16""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-classic.jpg,BVL-PIZZA-CLASSIC,1,Size,"16""",1,0,yes,pizza-classic
variable,BVL-PIZZA-MARGHERITA,Margherita,1,0,visible,"Fresh mozzarella, fresh basil & pizza sauce","Fresh mozzarella, fresh basil & pizza sauce",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-margherita.jpg,,64,Size,"12"" | 16""",1,0,yes,pizza-margherita
variation,BVL-PIZZA-MARGHERITA-12,"Margherita - 12""",1,0,visible,,,taxable,,1,,0,0,0,13.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-margherita.jpg,BVL-PIZZA-MARGHERITA,0,Size,"12""",1,0,yes,pizza-margherita
variation,BVL-PIZZA-MARGHERITA-16,"Margherita - 16""",1,0,visible,,,taxable,,1,,0,0,0,18.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-margherita.jpg,BVL-PIZZA-MARGHERITA,1,Size,"16""",1,0,yes,pizza-margherita
variable,BVL-PIZZA-MEAT-LOVERS,"Meat Lover's",1,0,visible,"Pepperoni, sausage, bacon & meatballs","Pepperoni, sausage, bacon & meatballs",taxable,,1,,0,0,0,,"Stone Oven Baked","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/pizza-meat-lovers.jpg,,65,Size,"12"" | 16""",1,0,yes,pizza-meat-lovers
variation,BVL-PIZZA-MEAT-LOVERS-12,"Meat Lover's - 12""",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/pizza-meat-lovers.jpg,BVL-PIZZA-MEAT-LOVERS,0,Size,"12""",1,0,yes,pizza-meat-lovers
